profile_key,city,num_days,solver,num_candidates,total_relevance,avg_relevance,num_activities_included,real_overrun_day_rate,real_overrun_min_avg,idle_minutes_per_day,stops_per_day,solve_time_ms
couple_museums,Roma,4,greedy,80,26.091,0.8997,29,0.25,0.9,8.2,7.25,1408
couple_museums,Roma,4,toptw,20,21.4009,0.9305,23,0.0,0.0,101.2,5.75,454
couple_museums,Roma,4,toptw,40,23.1359,0.9254,25,0.0,0.0,100.3,6.25,313
couple_museums,Roma,4,toptw,60,22.9387,0.9175,25,0.0,0.0,92.8,6.25,298
couple_museums,Roma,4,toptw,80,22.2505,0.9271,24,0.0,0.0,85.3,6.0,379
couple_museums,Roma,4,toptw,100,24.4524,0.9056,27,0.0,0.0,92.8,6.75,521
couple_museums,Roma,4,toptw,120,24.0537,0.8909,27,0.0,0.0,98.7,6.75,547
young_solo_relax,Roma,2,greedy,80,12.7783,0.6725,19,0.0,0.0,9.1,9.5,597
young_solo_relax,Roma,2,toptw,20,9.5019,0.6335,15,0.0,0.0,90.0,7.5,398
young_solo_relax,Roma,2,toptw,40,10.9105,0.6819,16,0.0,0.0,67.9,8.0,232
young_solo_relax,Roma,2,toptw,60,10.5031,0.6564,16,0.0,0.0,78.0,8.0,267
young_solo_relax,Roma,2,toptw,80,10.1499,0.6344,16,0.0,0.0,90.0,8.0,314
young_solo_relax,Roma,2,toptw,100,10.4087,0.6123,17,0.0,0.0,90.0,8.5,374
young_solo_relax,Roma,2,toptw,120,9.8504,0.6157,16,0.0,0.0,90.0,8.0,350
young_solo_relax,Roma,4,greedy,80,20.8718,0.6325,33,0.0,0.0,17.8,8.25,748
young_solo_relax,Roma,4,toptw,20,20.0301,0.607,33,0.0,0.0,98.0,8.25,1334
young_solo_relax,Roma,4,toptw,40,19.4898,0.6497,30,0.0,0.0,87.4,7.5,1595
young_solo_relax,Roma,4,toptw,60,19.9992,0.606,33,0.0,0.0,89.7,8.25,2095
young_solo_relax,Roma,4,toptw,80,20.6296,0.6068,34,0.0,0.0,82.1,8.5,416
young_solo_relax,Roma,4,toptw,100,20.0761,0.5905,34,0.0,0.0,89.6,8.5,416
young_solo_relax,Roma,4,toptw,120,17.9245,0.5782,31,0.0,0.0,97.1,7.75,501
couple_generalist,Roma,2,greedy,80,11.7848,0.7857,15,0.0,0.0,6.1,7.5,614
couple_generalist,Roma,2,toptw,20,9.587,0.7989,12,0.0,0.0,62.7,6.0,221
couple_generalist,Roma,2,toptw,40,10.8703,0.7764,14,0.0,0.0,63.5,7.0,243
couple_generalist,Roma,2,toptw,60,11.3009,0.7534,15,0.0,0.0,57.6,7.5,267
couple_generalist,Roma,2,toptw,80,9.462,0.7885,12,0.0,0.0,87.9,6.0,343
couple_generalist,Roma,2,toptw,100,10.2328,0.7871,13,0.0,0.0,72.9,6.5,373
couple_generalist,Roma,2,toptw,120,10.2328,0.7871,13,0.0,0.0,72.9,6.5,355
couple_generalist,Roma,4,greedy,80,19.8262,0.7625,26,0.0,0.0,17.0,6.5,778
couple_generalist,Roma,4,toptw,20,19.6225,0.7268,27,0.0,0.0,90.0,6.75,456
couple_generalist,Roma,4,toptw,40,19.3127,0.7428,26,0.0,0.0,78.9,6.5,291
couple_generalist,Roma,4,toptw,60,20.9675,0.723,29,0.0,0.0,75.7,7.25,309
couple_generalist,Roma,4,toptw,80,20.6401,0.7117,29,0.0,0.0,76.2,7.25,373
couple_generalist,Roma,4,toptw,100,20.9717,0.6991,30,0.0,0.0,101.2,7.5,418
couple_generalist,Roma,4,toptw,120,21.2575,0.7086,30,0.0,0.0,76.2,7.5,511
senior_solo_culture,Madrid,2,greedy,80,11.2108,0.7474,15,0.0,0.0,31.3,7.5,677
senior_solo_culture,Madrid,2,toptw,20,9.9227,0.8269,12,0.0,0.0,122.0,6.0,2004
senior_solo_culture,Madrid,2,toptw,40,8.9983,0.818,11,0.0,0.0,116.6,5.5,510
senior_solo_culture,Madrid,2,toptw,60,9.6495,0.8041,12,0.0,0.0,90.3,6.0,461
senior_solo_culture,Madrid,2,toptw,80,11.1177,0.7941,14,0.0,0.0,49.6,7.0,410
senior_solo_culture,Madrid,2,toptw,100,11.8316,0.7888,15,0.0,0.0,54.4,7.5,17007
senior_solo_culture,Madrid,2,toptw,120,10.8522,0.7752,14,0.0,0.0,19.6,7.0,19467
senior_solo_culture,Madrid,4,greedy,80,21.6719,0.7473,29,0.0,0.0,47.2,7.25,1883
senior_solo_culture,Madrid,4,toptw,20,19.1301,0.7971,24,0.25,0.2,78.8,6.0,1066
senior_solo_culture,Madrid,4,toptw,40,21.7563,0.8058,27,0.0,0.0,94.1,6.75,956
senior_solo_culture,Madrid,4,toptw,60,21.4194,0.7933,27,0.0,0.0,65.7,6.75,901
senior_solo_culture,Madrid,4,toptw,80,21.222,0.786,27,0.0,0.0,73.4,6.75,620
senior_solo_culture,Madrid,4,toptw,100,21.7423,0.7765,28,0.0,0.0,71.9,7.0,20259
senior_solo_culture,Madrid,4,toptw,120,22.1045,0.7622,29,0.0,0.0,69.8,7.25,9092
couple_foodie,Madrid,2,greedy,80,7.1556,0.5963,12,0.0,0.0,56.8,6.0,706
couple_foodie,Madrid,2,toptw,20,6.2807,0.6281,10,0.0,0.0,65.7,5.0,294
couple_foodie,Madrid,2,toptw,40,7.6178,0.6348,12,0.0,0.0,75.1,6.0,326
couple_foodie,Madrid,2,toptw,60,8.298,0.6383,13,0.0,0.0,69.4,6.5,717
couple_foodie,Madrid,2,toptw,80,10.3178,0.6069,17,0.0,0.0,19.2,8.5,366
couple_foodie,Madrid,2,toptw,100,9.8004,0.6125,16,0.0,0.0,29.4,8.0,2748
couple_foodie,Madrid,2,toptw,120,9.8004,0.6125,16,0.0,0.0,29.4,8.0,4909
couple_foodie,Madrid,4,greedy,80,14.7374,0.5895,25,0.0,0.0,55.1,6.25,5323
couple_foodie,Madrid,4,toptw,20,12.1243,0.6062,20,0.0,0.0,45.7,5.0,2589
couple_foodie,Madrid,4,toptw,40,15.0223,0.6259,24,0.0,0.0,59.1,6.0,693
couple_foodie,Madrid,4,toptw,60,15.9919,0.6151,26,0.0,0.0,55.3,6.5,2236
couple_foodie,Madrid,4,toptw,80,15.9313,0.6127,26,0.0,0.0,69.4,6.5,374
couple_foodie,Madrid,4,toptw,100,16.4842,0.6105,27,0.0,0.0,60.2,6.75,2450
couple_foodie,Madrid,4,toptw,120,15.8325,0.6089,26,0.0,0.0,52.3,6.5,3931
young_solo_outdoor,Madrid,2,greedy,80,8.9658,0.5977,15,0.0,0.0,29.9,7.5,710
young_solo_outdoor,Madrid,2,toptw,20,8.3319,0.5951,14,0.0,0.0,75.0,7.0,1100
young_solo_outdoor,Madrid,2,toptw,40,9.0188,0.6013,15,0.0,0.0,55.4,7.5,307
young_solo_outdoor,Madrid,2,toptw,60,9.6488,0.6031,16,0.0,0.0,5.0,8.0,418
young_solo_outdoor,Madrid,2,toptw,80,10.2586,0.6034,17,0.0,0.0,53.7,8.5,328
young_solo_outdoor,Madrid,2,toptw,100,9.637,0.6023,16,0.0,0.0,121.5,8.0,1118
young_solo_outdoor,Madrid,2,toptw,120,10.7288,0.596,18,0.0,0.0,95.2,9.0,2267
young_solo_outdoor,Madrid,4,greedy,80,16.9744,0.5853,29,0.0,0.0,30.5,7.25,1699
young_solo_outdoor,Madrid,4,toptw,20,14.1332,0.5653,25,0.0,0.0,76.0,6.25,7585
young_solo_outdoor,Madrid,4,toptw,40,17.767,0.5731,31,0.0,0.0,85.5,7.75,4241
young_solo_outdoor,Madrid,4,toptw,60,16.2171,0.5592,29,0.0,0.0,37.1,7.25,3075
young_solo_outdoor,Madrid,4,toptw,80,16.8726,0.5624,30,0.0,0.0,81.1,7.5,333
young_solo_outdoor,Madrid,4,toptw,100,17.2689,0.5571,31,0.0,0.0,69.4,7.75,2488
young_solo_outdoor,Madrid,4,toptw,120,17.7519,0.5379,33,0.0,0.0,58.0,8.25,9244
friends_nightlife,Madrid,2,greedy,80,7.9477,0.4675,17,0.0,0.0,11.9,8.5,692
friends_nightlife,Madrid,2,toptw,20,6.6343,0.5103,13,0.0,0.0,137.2,6.5,427
friends_nightlife,Madrid,2,toptw,40,7.6163,0.476,16,0.0,0.0,16.4,8.0,262
